,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,genre
8202,0.8079999999999999,0.757,4,-3.615,0,0.0969999999999999,0.385,0.0,0.361,0.385,104.967,4,156217,Underground Rap
6695,0.889,0.816,9,-4.67,1,0.247,0.472,0.0,0.204,0.777,192.112,4,302693,Underground Rap
6497,0.7509999999999999,0.679,0,-7.917000000000001,1,0.222,0.294,0.0,0.315,0.617,196.028,4,195912,Underground Rap
8751,0.617,0.588,1,-6.3020000000000005,1,0.4639999999999999,0.0369,0.0,0.514,0.878,132.164,4,223173,Underground Rap
9048,0.774,0.613,8,-6.908,0,0.0905,0.0891,0.0125,0.141,0.233,207.796,4,132280,Underground Rap
7284,0.773,0.873,1,-6.35,1,0.256,0.431,0.0,0.0575,0.664,190.156,4,234133,Underground Rap
5361,0.733,0.6779999999999999,6,-7.771,1,0.4379999999999999,0.121,0.0,0.344,0.841,175.985,4,142000,Underground Rap
10193,0.6990000000000001,0.521,7,-6.546,1,0.0297,0.494,0.0,0.141,0.208,114.996,4,155495,Underground Rap
7379,0.7090000000000001,0.6579999999999999,7,-5.787999999999999,1,0.0563,0.0117,0.0,0.573,0.217,138.971,4,200373,Underground Rap
9137,0.5720000000000001,0.944,9,-4.612,1,0.196,0.00729,0.0,0.691,0.5760000000000001,133.02700000000002,4,92131,Underground Rap
5736,0.8059999999999999,0.737,5,-6.648,0,0.282,0.191,0.0,0.3429999999999999,0.6890000000000001,127.925,4,137000,Underground Rap
8296,0.8809999999999999,0.742,0,-3.736,1,0.0535,0.14,2.49e-06,0.156,0.432,116.997,4,184782,Underground Rap
6448,0.804,0.639,1,-9.229,1,0.292,0.374,0.000278,0.138,0.54,108.048,4,141930,Underground Rap
5908,0.792,0.445,10,-7.871,0,0.544,0.00256,0.0,0.108,0.3989999999999999,157.153,4,171467,Underground Rap
5385,0.7659999999999999,0.606,9,-6.064,1,0.456,0.00266,0.0,0.166,0.352,160.22299999999998,4,140000,Underground Rap
10294,0.8370000000000001,0.294,0,-7.99,1,0.0832,0.485,1.35e-05,0.111,0.0673,140.135,4,110535,Underground Rap
7172,0.485,0.7120000000000001,6,-7.48,0,0.126,0.00951,0.0,0.406,0.179,179.97799999999998,3,236408,Underground Rap
6470,0.921,0.5670000000000001,10,-7.911,0,0.301,0.127,0.0,0.306,0.6409999999999999,183.986,4,166957,Underground Rap
7681,0.7120000000000001,0.759,11,-5.397,1,0.3339999999999999,0.016,0.0808,0.217,0.738,158.20600000000002,4,249333,Underground Rap
9799,0.302,0.4529999999999999,10,-9.473,1,0.0561,0.496,8.68e-06,0.113,0.163,150.408,1,178108,Underground Rap
5390,0.815,0.618,9,-6.518,1,0.213,0.036,0.0,0.315,0.1689999999999999,109.997,4,105626,Underground Rap
6620,0.8340000000000001,0.736,1,-3.803,1,0.198,0.00349,0.0,0.119,0.174,150.724,4,89253,Underground Rap
7424,0.785,0.626,5,-5.505,1,0.33,0.073,0.0,0.0806,0.695,176.02599999999998,4,160387,Underground Rap
4657,0.725,0.903,1,-3.795,1,0.16,0.0118,0.0,0.0581,0.7290000000000001,151.878,4,126316,Underground Rap
